order_id,tenant_id,customer_id,order_date,amount,status
1,acme,1,2023-12-16,142.79,completed
2,acme,1,2024-05-29,96.51,pending
3,acme,1,2023-09-09,46.22,completed
4,acme,3,2024-02-14,389.18,pending
5,acme,3,2024-03-30,264.81,completed
6,acme,3,2023-01-15,634.36,completed
7,acme,3,2023-05-16,156.82,completed
8,acme,3,2022-11-17,101.62,completed
9,acme,3,2023-08-07,765.8,refunded
10,acme,3,2023-05-02,730.27,pending
11,acme,3,2024-02-05,129.85,pending
12,acme,3,2022-10-24,505.8,refunded
13,acme,3,2023-08-10,528.07,completed
14,acme,3,2022-09-20,601.91,completed
15,acme,4,2024-04-29,419.0,completed
16,acme,4,2024-03-30,345.76,completed
17,acme,4,2024-04-26,637.6,completed
18,acme,4,2024-04-01,490.04,completed
19,acme,4,2024-03-30,426.79,completed
20,acme,4,2024-04-14,622.46,completed
21,acme,5,2023-11-27,78.25,refunded
22,acme,5,2023-12-21,207.11,pending
23,acme,5,2024-01-31,798.52,pending
24,acme,5,2023-09-24,253.09,completed
25,acme,5,2024-04-25,494.3,refunded
26,acme,5,2024-02-17,810.08,pending
27,acme,6,2024-05-16,100.0,completed
28,acme,6,2024-02-08,154.5,completed
29,acme,6,2024-04-28,544.84,pending
30,acme,6,2024-04-17,544.38,pending
31,acme,6,2024-05-25,241.24,refunded
32,acme,6,2024-01-13,618.65,completed
33,acme,6,2024-05-27,680.77,completed
34,acme,6,2024-02-08,278.28,completed
35,acme,7,2023-12-05,466.76,completed
36,acme,7,2024-02-04,760.67,refunded
37,acme,7,2023-12-15,154.5,completed
38,acme,7,2024-06-07,859.08,refunded
39,acme,7,2023-09-05,547.07,pending
40,acme,7,2023-09-14,118.44,completed
41,acme,7,2024-02-09,230.72,completed
42,acme,7,2024-06-21,853.32,completed
43,acme,8,2023-04-10,132.98,pending
44,acme,8,2024-06-17,165.31,refunded
45,acme,8,2024-02-09,868.64,refunded
46,acme,8,2023-06-26,647.4,pending
47,acme,8,2023-12-20,405.53,refunded
48,acme,8,2024-03-09,126.48,completed
49,acme,8,2023-02-06,317.52,refunded
50,acme,8,2024-06-22,222.5,completed
51,acme,8,2022-12-10,82.47,completed
52,acme,8,2023-07-25,79.31,completed
53,acme,8,2023-11-06,82.35,completed
54,acme,8,2023-09-14,608.7,completed
55,acme,9,2024-02-21,233.84,pending
56,acme,9,2023-12-15,187.56,completed
57,acme,9,2024-01-09,331.78,pending
58,acme,9,2024-02-15,780.18,completed
59,acme,9,2023-02-02,73.34,completed
60,acme,9,2023-02-13,238.82,completed
61,acme,9,2024-04-26,414.78,pending
62,acme,9,2023-04-30,265.12,completed
63,acme,9,2023-01-10,409.96,refunded
64,acme,10,2022-08-18,872.72,completed
65,acme,10,2023-01-20,377.64,pending
66,acme,10,2023-03-09,780.89,completed
67,acme,10,2023-01-18,353.5,pending
68,acme,10,2023-05-01,835.34,pending
69,acme,10,2023-05-22,392.25,refunded
70,acme,10,2024-06-10,652.2,completed
71,acme,10,2023-02-13,281.1,completed
72,acme,12,2023-07-09,70.05,refunded
73,acme,12,2023-04-21,769.18,completed
74,acme,12,2023-04-08,614.19,completed
75,acme,12,2024-03-17,125.5,refunded
76,acme,12,2023-10-08,529.45,completed
77,acme,12,2023-04-22,388.92,refunded
78,acme,12,2023-12-18,842.54,completed
79,acme,12,2023-12-16,230.04,pending
80,acme,13,2023-11-21,298.24,completed
81,acme,13,2022-08-19,423.29,refunded
82,acme,13,2022-11-20,84.47,completed
83,acme,13,2024-01-10,253.38,completed
84,acme,14,2023-08-07,405.6,refunded
85,acme,14,2024-05-13,286.22,refunded
86,acme,14,2023-05-23,607.72,refunded
87,acme,14,2023-10-19,839.95,completed
88,acme,15,2024-06-23,156.79,completed
89,acme,16,2024-05-31,578.13,completed
90,acme,16,2024-02-28,449.91,completed
91,acme,16,2023-08-01,578.17,completed
92,acme,17,2023-08-30,580.66,completed
93,acme,17,2023-09-15,672.28,refunded
94,acme,17,2024-06-20,396.36,completed
95,acme,17,2023-08-21,86.21,completed
96,acme,17,2024-03-30,51.7,completed
97,acme,17,2024-04-18,506.22,pending
98,acme,17,2023-08-29,56.81,completed
99,acme,17,2023-07-15,811.05,completed
100,acme,17,2024-06-08,239.59,completed
101,acme,17,2023-12-23,706.5,pending
102,acme,17,2024-05-07,679.54,completed
103,acme,17,2023-09-16,879.06,completed
104,acme,18,2024-02-23,708.5,pending
105,acme,18,2024-06-22,609.52,completed
106,acme,18,2024-02-06,160.09,completed
107,acme,18,2024-03-06,787.51,pending
108,acme,18,2024-01-25,195.62,pending
109,acme,18,2024-02-27,288.57,completed
110,acme,18,2024-01-26,40.82,completed
111,acme,18,2024-03-11,308.87,completed
